conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1906510533861457920,Mon Mar 31 16:26:06 +0000 2025,0,@SENANGHAT1 diam ca jgan buat saya marah kalau gamau liat jabotabek banjir darah,1906744822775558358,,WARGAN3GARA,in,,0,0,0,https://x.com/undefined/status/1906744822775558358,1466035914476601088,
1906744232154657024,Mon Mar 31 16:23:45 +0000 2025,0,kapan waktu terbaik nonton live wonu yg tadi? krn pasti baru mulai udh banjir gakuat hati gue TAKUT BANGET,1906744232154657242,,,in,,0,0,0,https://x.com/undefined/status/1906744232154657242,973586060721635328,
1906744074813711104,Mon Mar 31 16:23:07 +0000 2025,0,"astagaa banjir air mata liat eps 15 &amp;"" 16 WLGYT bagus bgtttttttt ya umpannnnn. ini pelajaran hidupnya beneran dpt semua""",1906744074813710792,,,in,,0,0,0,https://x.com/undefined/status/1906744074813710792,1438829971565281024,
1906743525225775104,Mon Mar 31 16:20:56 +0000 2025,0,banjir air mata karna lirik itu benar adanya ya :) https://t.co/Vcu6wdZtDj,1906743525225775452,https://pbs.twimg.com/media/GnYdDlwbUAAyGPc.jpg,,in,,0,0,0,https://x.com/undefined/status/1906743525225775452,1823365736817171968,
1906658995626278912,Mon Mar 31 16:18:55 +0000 2025,2,@Tipiku_Rusak @tham878 @hemaviton99 Jawab sJ dg Logik. Kebenaran Dari sisi Mana ? Banjir di Jkt kan mdh diatasi kl saya jd Presiden Faktanya ? 10 Thn jd Presiden jkt msh langganan banjir. Baiknya di mana ?10 thn LOH !!! Itu baru 1 contoh dr skian byk Ucapan beliau yg hny PENCITRAAN !!!,1906743018729996645,,Tipiku_Rusak,in,,0,3,0,https://x.com/undefined/status/1906743018729996645,881489755782791168,
1906742963729842944,Mon Mar 31 16:18:42 +0000 2025,0,Pulang ke maros cuman buat pondasi barang barang biar tidak kena banjir,1906742963729842663,,,in,,0,0,0,https://x.com/undefined/status/1906742963729842663,595185622,
1906739986420080896,Mon Mar 31 16:17:07 +0000 2025,0,@mingimanki Disini adanya musim banjir,1906742562444189931,,mingimanki,in,,0,1,0,https://x.com/undefined/status/1906742562444189931,1395253906528096000,
1906742283397124096,Mon Mar 31 16:16:00 +0000 2025,0,Biarin aja gue mau fokus bts otw kambek dalam waktu 3 bulan Contoh tuh bts segede itu semua fans diperhatiin @kqent @ATEEZofficial Hiatus wamil ga kaya hiatus soalnya banjir konten sama event Lu mah gabisa relate @kqent,1906742283397124384,,,in,,0,0,0,https://x.com/undefined/status/1906742283397124384,907463934063501312,
1906741807066821120,Mon Mar 31 16:14:07 +0000 2025,1,lebaran ku di isi dengan menangisi drama ini *emot nangis deres sampe banjir https://t.co/igHBEv3ps5,1906741807066820735,https://pbs.twimg.com/media/GnYbkGHa0AA6obq.jpg,,in,,0,0,0,https://x.com/undefined/status/1906741807066820735,1243221572871062016,
1906741445719118080,Mon Mar 31 16:12:40 +0000 2025,0,sungun album km ilang ditelan banjir kah,1906741445719118329,,,in,,0,0,0,https://x.com/undefined/status/1906741445719118329,757866169520971776,
1906741136762507008,Mon Mar 31 16:11:27 +0000 2025,4,Kapolres Ternate AKBP Anita Ratna Yulianto S.I.K. M.H. bersama Wakapolres Ternate Kompol Kurniawi H. Barmawi S.I.K. dan PJU Polres Ternate turun langsung meninjau lokasi banjir di Kel. Gambesi dan menjenguk Korban terdampak banjir di RSUD Chasan Boesoirie. https://t.co/6ZweYQW31T,1906741136762507272,https://pbs.twimg.com/amplify_video_thumb/1906740753520590849/img/APnVaHskxs7FqhIz.jpg,,in,,0,0,0,https://x.com/undefined/status/1906741136762507272,950548150359441408,
1906741086841955072,Mon Mar 31 16:11:15 +0000 2025,0,Diguyur Hujan Deras Warga Jambi Lebaran di Tengah Banjir https://t.co/H0dHvIYLfo https://t.co/dkR5rfsYrR,1906741086841954493,https://pbs.twimg.com/media/GnYa6Jib0AIXwDG.jpg,,in,,0,0,0,https://x.com/undefined/status/1906741086841954493,1484562767478936064,
1906739685415964928,Mon Mar 31 16:09:00 +0000 2025,0,@sukasukanopi aku br nonton 5eps udah banjir,1906740519725830487,,sukasukanopi,in,,0,1,0,https://x.com/undefined/status/1906740519725830487,1631338699278647040,
1906734536492466944,Mon Mar 31 16:08:33 +0000 2025,0,@_TNIAL_ Mahasiswa nggak keliatan turun bantu rakyat yg terisolir banjir,1906740407419252751,,_TNIAL_,in,,0,0,0,https://x.com/undefined/status/1906740407419252751,1864867668517622016,
1906739897584467968,Mon Mar 31 16:06:31 +0000 2025,0,nomin ngamuk kemarin di bilang cere maka nya banjir momen ,1906739897584468075,,,in,,0,0,0,https://x.com/undefined/status/1906739897584468075,1449040669398289920,
1906616591615508992,Mon Mar 31 16:05:13 +0000 2025,0,@chthrn4u Biar banjir air matanya,1906739568164106301,,chthrn4u,in,,0,0,0,https://x.com/undefined/status/1906739568164106301,1748380305524933120,
1906658995626278912,Mon Mar 31 16:04:36 +0000 2025,2,@anak2NKRI @Dadungkawuk41 @tham878 Banyak bukti kalau ente mau cari. Bagi² traktor diTarik lg. Pesen Mesin Pertanian 60.000 unit Barang sdh jadi gak diambil/gak jd. Banjir di jkt kan mdh di atasi kl saya Jd Presiden. 10 Thn jd Presiden jkt msh ttp langganan banjir. Tdk Mengangkat Pegawai yg Rangkap jabatan. Dll.,1906739412106608804,,anak2NKRI,in,,0,1,0,https://x.com/undefined/status/1906739412106608804,881489755782791168,
1906738493264417024,Mon Mar 31 16:00:56 +0000 2025,0,Gue gapernah semewek ini nonton drakor ini drakor viral pertama yg gue nonton pas masih rame hypenya. Sgt worth it dan banjir air mata ,1906738493264417194,,,in,,0,0,0,https://x.com/undefined/status/1906738493264417194,1075802913367305984,
1906737782275682048,Mon Mar 31 15:58:07 +0000 2025,0,baru baca awalnya aja mataku udah banjir dan gamau lanjut baca tapi aku bacain sampe habis dan sekarang mataku bengkak banget kepalaku pusing gegara nahan biar suaranya ga keluar nafas lewat mulut karna hidungku tersumbat. Kak kid yaAllah kasian bgt bang erennnnnn,1906737782275682325,,,in,,0,0,0,https://x.com/undefined/status/1906737782275682325,1459170917439868928,
1906737535566683904,Mon Mar 31 15:57:08 +0000 2025,0,makasih yura ini lagu tanda sukses bikin banjir di lebaran tahun kedua,1906737535566684196,,,in,,0,0,0,https://x.com/undefined/status/1906737535566684196,1081959221925576960,
1906736845138105088,Mon Mar 31 15:54:23 +0000 2025,0,Megawati 'Interogasi' Gubernur Jakarta Soal Banjir dan Macet! Halalbihalal Pun Bernuansa Rapat Darurat https://t.co/Pf8pdSHtvm,1906736845138104791,,,in,,0,0,0,https://x.com/undefined/status/1906736845138104791,1484521354842246912,
1906735787380773120,Mon Mar 31 15:50:11 +0000 2025,0,part sahabat deket sampe segininya banjir nangis ni anak https://t.co/dKPtocNXMN,1906735787380773037,https://pbs.twimg.com/media/GnYWF4hbkAEZVdg.jpg,,in,,0,0,0,https://x.com/undefined/status/1906735787380773037,1485964882214546944,
1906671636562247936,Mon Mar 31 15:49:09 +0000 2025,0,@beariecatto nyerah deh kalau gini (nangis sampe banjir),1906735524083388751,,beariecatto,in,,0,0,0,https://x.com/undefined/status/1906735524083388751,1290673122853522944,
1906688037867921920,Mon Mar 31 15:47:19 +0000 2025,0,@kejublender 6. Air di kosan gimana? Bersih dan ga berbau ga? 7. Kalo ada fasilitas dapur umum dan kulkas cek kulkasnya apakah berantakan sampe diempet-empet atau bersih rapi? 8. Kalau hujan besar banjir ga? 9. Deket sama jajanan makanan/warung/pasar/minimarket ga? 10. Parkiran gimana?,1906735065406865468,,FRin_sane,in,,0,0,0,https://x.com/undefined/status/1906735065406865468,258223584,
1906411064985865984,Mon Mar 31 15:46:30 +0000 2025,0,@earyesaj cilegon jawa ege ntar serang banjir cilegon baru jadi pulau sendiri ,1906734859407790508,,meddlecbout,in,,0,0,0,https://x.com/undefined/status/1906734859407790508,1772492082894209024,
1906595168813519104,Mon Mar 31 15:46:25 +0000 2025,11,@OHMYV3NUS Gua bangun bangun ngerasa kok kek lembab bat ya pas gua duduk gua liat sprai gua udah banjir keringet anjir gua langsung buka baju dan bener aja dah basah kuyup pdhl malemnya gua kedinginan,1906734838264242252,,OHMYV3NUS,in,,0,0,0,https://x.com/undefined/status/1906734838264242252,1801872046936494080,
1906734716931440896,Mon Mar 31 15:45:56 +0000 2025,0,armed dilanda banjir bandang,1906734716931440727,,,in,,0,0,0,https://x.com/undefined/status/1906734716931440727,1490331721765895936,
1906729413930373888,Mon Mar 31 15:45:25 +0000 2025,0,@Melomaneia Besok kalau dengar info daerah x tiba-tiba banjir itu karena air mata aku.,1906734587591655529,,Melomaneia,in,,0,0,0,https://x.com/undefined/status/1906734587591655529,1266066513070419968,
1906734536492466944,Mon Mar 31 15:45:13 +0000 2025,17,AKSI TANGGAP BENCANA BANJIR DI BANTUL DAN KULONPROGO TNI AL TERJUNKAN PASUKAN UNTUK EVAKUASI MASYARAKAT https://t.co/2YEcuBEO2O https://t.co/yk0HFOys8i,1906734536492466673,https://pbs.twimg.com/media/GnYU9MgaoAABkNy.jpg,,in,,0,2,4,https://x.com/undefined/status/1906734536492466673,351421879,
1906734423518981888,Mon Mar 31 15:44:46 +0000 2025,1,siapa yang libur nasional full kerja ampe muakk dan yapp betulll wwwwhhhhh. jangankan tanggal merah gunung meletus gempa ampe banjir bandang pun akan tetap w trabass,1906734423518982451,,,in,,0,2,0,https://x.com/undefined/status/1906734423518982451,1696581382187979008,
1906213783346754048,Mon Mar 31 15:43:54 +0000 2025,0,@cuntdi bob rumah sodaraku di medan brayan banjir bob masa raya gini banjir kekmana nya kau ini,1906734205503250921,,cuntdi,in,,0,0,0,https://x.com/undefined/status/1906734205503250921,1518259372094213888,
1906130458506863104,Mon Mar 31 15:43:40 +0000 2025,0,@z_sampesuvu @AdamVelcro Bang Eiger Camp di dekat Tangkuban Parahu bikin heboh. Eiger bilang punya izin lengkap cuma bangun 2% lahan buat wisata. Tapi banyak yang takut rusak lingkungan bisa banjir atau longsor. Gubernur Jabar turun tangan segel proyek 28 Maret 2025 lagi cek izinnya bener apa https://t.co/eLLQY1BA81,1906734145700499566,https://pbs.twimg.com/media/GnOlAPnXwAArBC7.jpg,z_sampesuvu,in,,0,0,0,https://x.com/undefined/status/1906734145700499566,1720665183188922112,
1906734069423161088,Mon Mar 31 15:43:22 +0000 2025,9,umur 22 tahun tapi nangis banjir nonton film anak anak film JUMBO bagus bangett menyentuh dan hangat banget superrrr worth to watch https://t.co/0i5FV5KUc6,1906734069423161410,https://pbs.twimg.com/media/GnYUhwiaEAAN03x.jpg,,in,,0,2,4,https://x.com/undefined/status/1906734069423161410,1292067665691868928,
1906327488751674112,Mon Mar 31 15:42:56 +0000 2025,1,@meinmokhtar Skrg ni banyak kelambu ygcm pusat banjir tu jual kt shopee. Beli itu senang jugak. Ada privasi,1906733962677879038,,meinmokhtar,in,,0,0,0,https://x.com/undefined/status/1906733962677879038,1574619344,
1906733666937827072,Mon Mar 31 15:41:46 +0000 2025,0,Tak kelakar sial time raya kedai kenaa banjir,1906733666937827434,,,in,,0,0,0,https://x.com/undefined/status/1906733666937827434,2941347320,
1906733164309127936,Mon Mar 31 15:39:46 +0000 2025,0,blm nonton full livenya aja udh banjir bngt air mata gegara liat di twt cuplikannya huhuuuhuu wonuuu,1906733164309127565,,,in,,0,0,0,https://x.com/undefined/status/1906733164309127565,1453028116125807104,
1906732325695894016,Mon Mar 31 15:39:42 +0000 2025,0,@Seisjiro dia pernah bikin nangis anak tetangga.... tp juga a very sweet kid absen yang banjir,1906733147288715766,,Seisjiro,in,,0,0,0,https://x.com/undefined/status/1906733147288715766,1403877260306771968,
1906724019086479104,Mon Mar 31 15:38:42 +0000 2025,0,Udah sampe situ aja? Beluuumm. Kita semua pas ujan sibuk menyelamatkan diri sampe lupa kalau sandal kita ada diluar semua. Kan banjir pada hanyut. Jadinya sibuk nyari sandal udah kayak tim sar Kurleb kondisinya begini. Samping sama belakang isinya cuma pohon kayak hutan https://t.co/w4tL4ddkmG,1906732896112750792,https://pbs.twimg.com/ext_tw_video_thumb/1906732249418174464/pu/img/FUT_m3z9SidwA2yW.jpg,SKYlighteo,in,,0,0,0,https://x.com/undefined/status/1906732896112750792,414463766,
1906724019086479104,Mon Mar 31 15:35:44 +0000 2025,0,Jam 2an setelah lapor sana sini akhirnya aman. Listrik normal air bisa ngalir kita bisa mandi. Kita kita udah beres masalah oh ternyata tidak bestie Jam 9 hujan gede bgt + petir + banjir depan rumah,1906732150034223303,,SKYlighteo,in,,0,1,0,https://x.com/undefined/status/1906732150034223303,414463766,
1906724275723416064,Mon Mar 31 15:04:27 +0000 2025,0,banjir wine ya gin,1906724275723415673,,,in,,0,0,0,https://x.com/undefined/status/1906724275723415673,1815619048140627968,
1906641542325920000,Mon Mar 31 15:01:38 +0000 2025,0,@isoflvran 1 dan 2 aku ga terlalu bisa rekomen soalnya kayaknya mau ganti juga hahaha 3. Front loading 4. Rumah kamu banjir ga? Kalau ga particle board oke oke aja sih.,1906723569599684803,,isoflvran,in,,0,0,0,https://x.com/undefined/status/1906723569599684803,40668831,
1906723547407659008,Mon Mar 31 15:01:33 +0000 2025,0,Tpi emg bagian ini nangis banjir sampe bengek ,1906723547407659302,,,in,,0,0,0,https://x.com/undefined/status/1906723547407659302,1289509792017309952,
1906723023102902016,Mon Mar 31 14:59:28 +0000 2025,0,scene geum myeong ngelahirin bikin gw banjir aer mata apalagi pas aesun gwansik lebih peduli ke geum myeong over gm's baby cz geum myeong is their precious baby️,1906723023102902355,,,in,,0,0,0,https://x.com/undefined/status/1906723023102902355,1385905798644080896,
1906722986306277120,Mon Mar 31 14:59:19 +0000 2025,0,ni banjir dimana mana syukur suh balik,1906722986306277497,,,in,,0,1,0,https://x.com/undefined/status/1906722986306277497,1201054064017989888,
